trace_id,mutation_id,decision_seq,decision_offset_ms,forecast_target_offset_ms,oracle_rps,forecast_rps,oracle_raw_replicas,forecast_raw_replicas,oracle_commanded_replicas,forecast_commanded_replicas,forecast_action,forecast_scale_down_held
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,145,145000,151000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,146,146000,152000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,147,147000,153000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,148,148000,154000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,149,149000,155000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,150,150000,156000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,151,151000,157000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,152,152000,158000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,153,153000,159000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,154,154000,160000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,155,155000,161000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,156,156000,162000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,157,157000,163000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,158,158000,164000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,159,159000,165000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,160,160000,166000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,161,161000,167000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,162,162000,168000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,163,163000,169000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,164,164000,170000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,165,165000,171000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,166,166000,172000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,167,167000,173000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,168,168000,174000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,169,169000,175000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,170,170000,176000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,171,171000,177000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,172,172000,178000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,173,173000,179000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,174,174000,180000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,175,175000,181000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,176,176000,182000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,177,177000,183000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,178,178000,184000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,179,179000,185000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,180,180000,186000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,181,181000,187000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,182,182000,188000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,183,183000,189000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,184,184000,190000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,185,185000,191000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,186,186000,192000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,187,187000,193000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,188,188000,194000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,189,189000,195000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,190,190000,196000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,191,191000,197000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,192,192000,198000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,193,193000,199000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,194,194000,200000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,195,195000,201000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,196,196000,202000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,197,197000,203000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,198,198000,204000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,199,199000,205000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,200,200000,206000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,201,201000,207000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,202,202000,208000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,203,203000,209000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,204,204000,210000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,205,205000,211000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,206,206000,212000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,207,207000,213000,26.000000,26.000000,1,1,1,1,none,false
